false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,1,GravaStar Mercury X,124.6,63.5,40.5,49.0,Symmetrical,Back - minimal,Outward - moderate,Flat,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Centered (50%),32000,1000,750,50,2,0
false,2,MCHOSE G7 Pro,129.4,74.6,41.1,55.0,Ergonomic,Center,Flat,Flat,Right,Yes,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,1000,650,50,2,0
false,3,MCHOSE G7,129.4,74.6,41.1,59.0,Ergonomic,Center,Flat,Flat,Right,Yes,No,Plastic,Wireless,PixArt PAW3311,Optical,Front - minimal (53%),12000,1000,300,35,2,0
false,2,Kysona Uranus Pro,118.0,69.0,39.0,54.0,Ergonomic,Back - minimal,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,2,1
false,3,Pulsar X2 v3 Mini,116.0,61.0,37.0,51.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,Pulsar XS-1,Optical,Front - minimal (55%),32000,8000,750,50,2,0
false,5,MCHOSE M7 Ultra,123.4,65.4,39.2,55.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (53%),42000,8000,750,50,2,0
false,2,Delux M900 Mini Ultra,119.0,65.4,40.3,45.0,Ergonomic,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (54%),30000,8000,750,50,2,0
false,1,WLmouse Beast X Mini Pro,116.0,58.0,35.0,34.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950 HS,Optical,Centered (52%),30000,8000,750,50,2,0
false,1,WLmouse Beast X Pro,122.0,62.0,37.0,39.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950 HS,Optical,Centered (52%),30000,8000,750,50,2,0
false,1,WLmouse Strider,121.5,66.0,38.0,45.0,Symmetrical,Back - moderate,Outward - slight,Inward - aggressive,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950 HS,Optical,Front - moderate (56%),30000,8000,750,50,2,0
false,2,NZXT Lift Elite Wireless,118.8,60.8,38.3,57.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,8000,650,50,2,0
false,2,LAMZU Tachi,120.0,63.0,38.0,49.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Front - minimal (53%),30000,8000,750,50,2,0
false,,strayfe M55 Pro 8k,123.5,61.5,39.0,55.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,8000,650,50,2,0
false,2,ATK X1,127.0,64.0,40.0,54.0,Symmetrical,Back - minimal,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (51%),26000,8000,650,50,2,0
