false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,1,Razer Mamba Wireless,125.7,68.0,43.2,106.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,Razer Razer 5G,Optical,Centered (52%),16000,1000,450,50,2,2
false,,Rexus Daxa Air IV,125.0,63.1,39.6,66.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,1000,650,50,2,1
false,,VAXEE OUTSET AX Wireless,117.4,66.0,43.0,73.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),3200,1000,650,50,2,0
false,4,Keychron M3 Mini 4K - Metal Edition,119.9,65.3,38.9,64.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0
false,4,Keychron M2 Mini,117.0,64.0,38.0,50.0,Ergonomic,Back - minimal,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,0
false,2,Logitech B100,113.0,62.0,38.0,90.0,Symmetrical,Back - minimal,Inward - moderate,Flat,Ambidextrous,No,No,Plastic,Wired,-,-,Centered (47%),1000,1000,-,-,0,0
false,4,Dareu EM901,124.0,67.0,40.0,105.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PMW3325,Optical,Front - minimal (54%),6000,1000,100,20,2,1
false,2,Glorious Model O 2 Pro 4K/8KHz,128.0,66.0,38.0,59.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF 2.0 26K,Optical,Front - minimal (55%),26000,8000,650,50,2,1
false,2,Glorious Model O 2 Pro 1KHz,128.0,66.0,38.0,57.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF 2.0 26K,Optical,Front - minimal (55%),26000,1000,650,50,2,1
false,2,Glorious Model D 2 Pro 4K/8KHz,128.0,67.0,42.0,62.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF 2.0 26K,Optical,Front - minimal (53%),26000,8000,650,50,2,1
false,2,Glorious Model D 2 Pro 1KHz,128.0,67.0,42.0,60.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF 2.0 26K,Optical,Front - minimal (53%),26000,1000,650,50,2,1
false,2,Razer Mamba Elite,125.0,69.0,43.3,95.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wired,Razer Razer 5G,Optical,Front - minimal (54%),16000,1000,450,50,2,2
false,2,Cooler Master MM310,125.5,71.0,40.5,50.0,Symmetrical,Back - minimal,Outward - aggressive,Inward,Right,No,No,Plastic,Wired,PixArt PAW3327,Optical,Front - moderate (58%),12000,1000,220,30,2,1
false,3,Pulsar X2A Mini,116.0,61.0,37.0,55.0,Symmetrical,Back - moderate,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,0
false,4,Pulsar X2A,120.0,63.0,38.0,57.0,Symmetrical,Back - moderate,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,0
false,2,Logitech G600,118.0,75.0,41.0,133.0,Ergonomic,Center,Inward - slight,Flat,Right,No,Yes,Plastic,Wired,Avago S9808,Laser,-,8200,1000,-,30,12,2
